Code;Libellé;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021
2096;Bois-lès-Pargny;0
2097;Boncourt;0
2098;Bonneil;0
2099;Bonnesvalyn;0
2100;Bony;0
2101;Bosmont-sur-Serre;0
2102;Bouconville-Vauclair;50,4
2103;Boué;0
2104;Bouffignereux;0
2105;Bouresches;0
2106;Bourg-et-Comin;0
2107;Bourguignon-sous-Coucy;0
2108;Bourguignon-sous-Montbavin;0
2109;La Bouteille;0
2110;Braine;0
2111;Brancourt-en-Laonnois;0
2112;Brancourt-le-Grand;0
2114;Brasles;0
2115;Braye-en-Laonnois;0
2116;Braye-en-Thiérache;0
2117;Bray-Saint-Christophe;0
2118;Braye;0
2119;Brécy;0
2120;Brenelle;0
2121;Breny;0
2122;Brie;0
2123;Brissay-Choigny;0
2124;Brissy-Hamégicourt;0
2125;Brumetz;0
2126;Brunehamel;0
2127;Bruyères-sur-Fère;0
2128;Bruyères-et-Montbérault;0
2129;Bruys;0
2130;Bucilly;0
2131;Bucy-le-Long;0
2132;Bucy-lès-Cerny;0
2133;Bucy-lès-Pierrepont;0
2134;Buire;0
2135;Buironfosse;0
2136;Burelles;0
2137;Bussiares;6,5
2138;Buzancy;0
2139;Caillouël-Crépigny;0
2140;Camelin;0
2141;La Capelle;0
2142;Castres;0
2143;Le Catelet;0
2144;Caulaincourt;0
2145;Caumont;0
2146;Celles-lès-Condé;0
2148;Celles-sur-Aisne;0
2149;Cerizy;0
2150;Cerny-en-Laonnois;0
2151;Cerny-lès-Bucy;0
2152;Cerseuil;0
2153;Cessières-Suzy;0
2154;Chacrise;0
2155;Chaillevois;0
2156;Chalandry;0
2157;Chambry;0
2158;Chamouille;0
2159;Champs;0
2160;Chaourse;0
2162;La Chapelle-sur-Chézy;0
2163;Charly-sur-Marne;0
2164;Le Charmel;0
2165;Charmes;0
2166;Chartèves;0
2167;Chassemy;0
2168;Château-Thierry;0
2169;Châtillon-lès-Sons;0
2170;Châtillon-sur-Oise;0
2171;Chaudardes;0
2172;Chaudun;0
2173;Chauny;0
2174;Chavignon;0
2175;Chavigny;0
2176;Chavonne;0
2177;Chérêt;0
2178;Chermizy-Ailles;0
2179;Chéry-Chartreuve;0
2180;Chéry-lès-Pouilly;0
2181;Chéry-lès-Rozoy;0
2182;Chevennes;0
2183;Chevregny;0
2184;Chevresis-Monceau;0
2185;Chézy-en-Orxois;0
2186;Chézy-sur-Marne;0
2187;Chierry;0
2188;Chigny;0
2189;Chivres-en-Laonnois;0
2190;Chivres-Val;0
2191;Chivy-lès-Étouvelles;0
2192;Chouy;0
2193;Cierges;0
2194;Cilly;0
2195;Ciry-Salsogne;0
2196;Clacy-et-Thierret;0
2197;Clairfontaine;0
2198;Clamecy;0
2199;Clastres;0
2200;Clermont-les-Fermes;0
2201;Cœuvres-et-Valsery;0
2203;Coincy;0
2204;Coingt;0
2205;Colligis-Crandelain;0
2206;Colonfay;0
2207;Commenchon;0
2208;Concevreux;0
2209;Condé-en-Brie;0
2210;Condé-sur-Aisne;0
2211;Condé-sur-Suippe;0
2212;Condren;0
2213;Connigis;0
2214;Contescourt;0
2215;Corbeny;0
2216;Corcy;0
2217;Coucy-le-Château-Auffrique;0
2218;Coucy-lès-Eppes;0
2219;Coucy-la-Ville;0
2220;Coulonges-Cohan;0
2221;Coupru;0
2222;Courbes;0
2223;Courboin;0
2224;Courcelles-sur-Vesle;0
2225;Courchamps;0
2226;Courmelles;0
2227;Courmont;0
2228;Courtemont-Varennes;0
2229;Courtrizy-et-Fussigny;0
2230;Couvrelles;0
2231;Couvron-et-Aumencourt;0
2232;Coyolles;0
2233;Cramaille;0
2234;Craonne;0
2235;Craonnelle;0
2236;Crécy-au-Mont;7
2237;Crécy-sur-Serre;0
2238;Crépy;0
2239;Crézancy;0
2240;Croix-Fonsomme;0
2241;La Croix-sur-Ourcq;0
2242;Crouttes-sur-Marne;0
2243;Crouy;0
2244;Crupilly;0
2245;Cuffies;0
2246;Cugny;0
2248;Cuirieux;0
2249;Cuiry-Housse;0
2250;Cuiry-lès-Chaudardes;0
